code,symbol,name,industry
500407,SWARAJENG,Swaraj Engines Ltd,
500408,TATAELXSI,Tata Elxsi Ltd,
500410,ACC,ACC Ltd,
500411,THERMAX,Thermax Ltd,
500412,TIRUMALCHM,Thirumalai Chemicals Ltd,
500413,THOMASCOOK,Thomas Cook (India) Ltd,
500414,TIMEX,Timex Group India Ltd-$,
500418,TOKYOPLAST,Tokyo Plast International Ltd,
500420,TORNTPHARM,Torrent Pharmaceuticals Ltd,
500421,TPINDIA,TPI India Ltd,
500422,TRANSCHEM,Transchem Ltd-$,
500425,AMBUJACEM,Ambuja Cements Ltd,
500426,UTLINDS,UTL Industries Ltd,
500429,UNIENTER,Uniphos Enterprises Ltd,
500439,VHL,Vardhman Holdings Ltd,
500440,HINDALCO,Hindalco Industries Ltd,
500444,WSTCSTPAPR,West Coast Paper Mills Ltd,
500449,HOCL,Hindustan Organic Chemicals Ltd,
500450,MPILCORPL,MPIL Corporation Ltd,
500456,PASUPTAC,Pasupati Acrylon Ltd,
500458,TEAM24,Team24 Consumer Products Ltd,
500459,PGHH,Procter & Gamble Hygiene and Health Care Ltd,
500460,MUKANDLTD,Mukand Ltd,
500463,BBOX,Black Box Ltd,
500464,UCAL,Ucal  Ltd,
500467,HARRMALAYA,Harrisons Malayalam Ltd,
500469,FEDERALBNK,Federal Bank Ltd,
500470,TATASTEEL,Tata Steel Ltd,
500472,SKFINDIA,SKF India Ltd,
500477,ASHOKLEY,Ashok Leyland Ltd,
500480,CUMMINSIND,Cummins India Ltd,
500483,TATACOMM,Tata Communications Ltd,
500488,ABBOTINDIA,Abbott India Ltd,
500490,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,
500493,BHARATFORG,Bharat Forge Ltd,
500495,ESCORTS,Escorts Kubota Ltd,
500500,HINDMOTORS,Hindustan Motors Ltd,
500510,LT,Larsen & Toubro Ltd,
500520,M&M,Mahindra & Mahindra Ltd,
500530,BOSCHLTD,Bosch Ltd,
500540,PREMIER,Premier Ltd,
500547,BPCL,Bharat Petroleum Corporation Ltd,
500550,SIEMENS,Siemens Ltd,
500570,TMPV,Tata Motors Passenger Vehicles Ltd,
500575,VOLTAS,Voltas Ltd,
500620,GESHIP,Great Eastern Shipping Company Ltd,
500645,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,
500650,EXCELINDUS,Excel Industries Ltd,
500655,GRWRHITECH,Garware Hi-Tech Films Ltd,
500660,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,
500670,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,
500672,NOVARTIND,Novartis India Ltd,
500674,SANOFI,Sanofi India Ltd,
500680,PFIZER,Pfizer Ltd,
500690,GSFC,Gujarat State Fertilizers & Chemicals Ltd,
500696,HINDUNILVR,Hindustan Unilever Ltd,
500710,JSWDULUX,JSW Dulux Ltd,
500730,NOCIL,NOCIL Ltd,
500770,TATACHEM,Tata Chemicals Ltd,
500777,TNPETRO,Tamilnadu Petroproducts Ltd,
500780,ZUARIIND,Zuari Industries Ltd,
500790,NESTLEIND,Nestle India Ltd,
500800,TATACONSUM,Tata Consumer Products Ltd,
500820,ASIANPAINT,Asian Paints Ltd,
500825,BRITANNIA,Britannia Industries Ltd,
500830,COLPAL,Colgate Palmolive (India) Ltd,
500840,EIHOTEL,EIH Ltd,
500850,INDHOTEL,Indian Hotels Company Ltd,
500870,CASTROLIND,Castrol India Ltd,
500875,ITC,ITC Ltd,
500877,APOLLOTYRE,Apollo Tyres Ltd,
500878,CEATLTD,Ceat Ltd,
500890,MODIRUBBER,Modi Rubber Ltd,
500940,FINPIPE,Finolex Industries Ltd,
501110,SUNRINV,Sunrise Industrial Traders Ltd,
501111,ZGOLDINV,Gold Rock Investments Ltd,
501148,DSINVEST,Dalal Street Investments Ltd,
501150,CENTRUM,Centrum Capital Ltd,
501151,KARTKIN,Kartik Investments Trust Ltd,
501242,TCIFINANCE,TCI Finance Ltd,
501270,ANTARIKSH,Antariksh Industries Ltd,
501295,IITL,Industrial Investment Trust Ltd,
501298,INDPRUD,Industrial & Prudential Investment Company Ltd,
501301,TATAINVEST,Tata Investment Corporation Ltd,
501311,JAYBHCR,Jayabharat Credit Ltd-$,
501314,PRISMX,Prismx Global Ventures Ltd,
501343,MOTOGENFIN,Motor & General Finance Ltd,
501351,RAPIDIN,Rapid Investments Ltd,
501370,WALCHPF,Walchand Peoplefirst Ltd,
501386,EENTER,E & E Enterprises Ltd,
501391,WHBRADY,WH Brady & Company Ltd,
501421,TECHNVISN,TechNVision Ventures Ltd,
501423,SHAILY,Shaily Engineering Plastics Ltd,
501425,BBTC,The Bombay Burmah Trading Corporation Ltd,
501430,BOMBCYC,Bombay Cycle & Motor Agency Ltd,
501455,GREAVESCOT,Greaves Cotton Ltd,
501477,MULLER,Muller & Phipps India Ltd,
501479,SFTL,Springform Technology Ltd,
501622,AMALGAM,Amalgamated Electricity Company Ltd,
501630,ANANDPROJ,Anand Projects Ltd,
501700,INDIANVSH,IndiaNivesh Ltd,
501831,COASTCORP,Coastal Corporation Ltd,
501833,CHOWGULSTM,Chowgule Steamships Ltd,
501848,GARWAOFFS,Garware Offshore Services Ltd-$,
501945,DHENUBUILD,Dhenu Buildcon Infra Ltd,
502015,ASIIL,ASI Industries Ltd,
502090,SAGCEM,Sagar Cements Ltd-$,
502137,DECCANCE,Deccan Cements Ltd-$,
